Line,Car Type,Number,Vendor,DCC,Sound,Photo
L&N,Locomotive,2502,Walthers,Yes,Yes,LOCO_LN_2502.jpg
L&N,Locomotive,3002,Atlas,Yes,No,LOCO_LN_3002.jpg
L&N,Locomotive,458,Bachmann,Yes,Yes,LOCO_LN_458.jpg
L&N,Locomotive,3021,Atlas,No,No,LOCO_LN_3021.jpg
L&N,Caboose,1250,Athearn,No,No,CABOOSE_LN_1250.jpg
L&N,Caboose,1287,Athearn,No,No,CABOOSE_LN_1287.jpg
L&N,Caboose,6033,Athearn,No,No,CABOOSE_LN_6033.jpg
L&N,Caboose,6145,Athearn,No,No,CABOOSE_LN_6145.jpg
L&N,Caboose,6379,Athearn,No,No,CABOOSE_LN_6379.jpg
Southern,Locomotive,176W,LifeLike,Yes,No,LOCO_SOU_176W.jpg
Southern,Locomotive,2735,Atlas,Yes,No,LOCO_SOU_2735.jpg
Southern,Locomotive,2741,Atlas,Yes,No,LOCO_SOU_2741.jpg
C&O,Locomotive,4828,Atlas,Yes,No,LOCO_CO_4828.jpg
C&O,Locomotive,5817,LifeLike,Yes,No,LOCO_CO_5817.jpg
Norfolk Southern,Locomotive,5616,Bachmann,Yes,No,LOCO_NS_5616.jpg
Union Pacific,Locomotive,3643,Bachmann,Yes,No,LOCO_UP_3643.jpg
Union Pacific,Locomotive,660,Bachmann,No,No,LOCO_UP_660.jpg
